wnum_cm-1,wavelength_um,freq_Hz,freq_GHz,n,k,R,D
6.0,2067.834,179875474800.0,179.8754748,1.04,1.59,0.37814849694306174,0.6218515030569383
5.8,2139.139,173879625640.0,173.87962564,1.1,1.67,0.3887955104252039,0.6112044895747961
5.6,2215.536,167883776480.0,167.88377648,1.18,1.74,0.3933161953727507,0.6066838046272494
5.4,2297.593,161887927320.0,161.88792732,1.28,1.78,0.3880575608356838,0.6119424391643162
5.2,2385.962,155892078160.0,155.89207816,1.38,1.8,0.3800817573334532,0.6199182426665468
5.0,2481.401,149896229000.0,149.896229,1.47,1.78,0.36564789142653714,0.6343521085734629
4.8,2584.793,143900379840.0,143.90037984,1.53,1.71,0.3436997319034852,0.6563002680965149
4.6,2697.175,137904530680.0,137.90453068,1.52,1.67,0.3347411727375182,0.6652588272624818
4.4,2819.774,131908681520.00002,131.90868152000002,1.49,1.64,0.32956117754254916,0.6704388224574509
4.2,2954.049,125912832360.0,125.91283236,1.42,1.64,0.33536157266557454,0.6646384273344255
4.0,3101.751,119916983200.0,119.9169832,1.34,1.72,0.3644771164334835,0.6355228835665165
3.8,3265.001,113921134040.0,113.92113404,1.34,1.81,0.3875475621879178,0.6124524378120821
3.6,3446.39,107925284880.0,107.92528488,1.31,1.87,0.4067700667949734,0.5932299332050266
3.4,3649.119,101929435720.0,101.92943572,1.27,1.95,0.432744489358376,0.5672555106416239
3.2,3877.189,95933586560.0,95.93358656,1.18,2.21,0.510195610439475,0.48980438956052497
3.0,4135.668,89937737400.0,89.9377374,1.18,2.21,0.510195610439475,0.48980438956052497
2.8,4431.073,83941888240.0,83.94188824,1.17,2.36,0.5446806440628497,0.45531935593715034
2.6,4771.925,77946039080.0,77.94603908,1.15,2.5,0.5769142331570477,0.4230857668429523
2.4,5169.585,71950189920.0,71.95018992,1.12,2.6,0.601933466022178,0.398066533977822
2.3,5394.35,68952265340.0,68.95226534,1.04,2.59,0.6172847456691537,0.3827152543308463
2.2,5639.547,65954340760.00001,65.95434076000001,0.826,2.6,0.6726857874700474,0.32731421252995263
2.1,5908.097,62956416180.0,62.95641618,0.468,2.81,0.8137521733887672,0.18624782661123285
2.0,6203.502,59958491600.0,59.9584916,0.272,3.24,0.9101983032761772,0.08980169672382277
1.9,6530.002,56960567020.0,56.96056702,0.214,3.67,0.942714487399061,0.05728551260093895
1.85,6706.489,55461604730.0,55.46160473,0.215,3.86,0.9474835618968815,0.05251643810311846
1.8,6892.78,53962642440.0,53.96264244,0.213,4.05,0.9523326482923199,0.047667351707680106
1.75,7089.717,52463680150.0,52.46368015,0.214,4.24,0.9559928757812549,0.044007124218745086
1.7,7298.238,50964717860.0,50.96471786,0.223,4.43,0.9577664093242678,0.04223359067573218
1.5,8271.336,44968868700.0,44.9688687,0.26,5.26,0.9644507643085674,0.035549235691432646
1.0,12407.004,29979245800.0,29.9792458,0.433,8.46,0.9764754104405905,0.023524589559409503
0.98,12660.208,29379660884.0,29.379660884,0.496,6.78,0.9588436526789297,0.04115634732107032
