Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Ex_real,Ey_real,Ez_real,Ex_imag,Ey_imag,Ez_imag
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,2.3999999999999997e-05,-6.753844680659241e-20,-5.8348206447558424e-21,-8.263762786555953e-20,-6.882364680007496e-21,7.126440188199425e-20,7.13270460263796e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,2.4999999999999994e-05,-7.174502785234219e-20,-6.458390616570555e-21,-8.341919231113281e-20,-7.509283202523623e-21,7.18124446542993e-20,6.464459478690869e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-2.5e-05,-6.013652607170236e-19,-1.4929896975728387e-18,2.362372435090562e-21,-2.483937934727559e-21,-1.708395584672293e-21,-2.0583268156012905e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-2.4e-05,-6.011474682520616e-19,-1.4916998910042059e-18,3.067411740467585e-21,-2.674560647085004e-21,1.2468846103471312e-21,-1.4844792212920034e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-2.3e-05,-6.009406195642662e-19,-1.4905069380569601e-18,3.7731802827715654e-21,-2.886784901773473e-21,4.2045749826499534e-21,-9.423737453469394e-22
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-2.2e-05,-6.007447146536818e-19,-1.4894108387311887e-18,4.479678062003456e-21,-3.1206106987931902e-21,7.164675532238472e-21,-4.320103877655053e-22
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-2.1000000000000002e-05,-6.005597535203074e-19,-1.4884115930268897e-18,5.1869050781632416e-21,-3.376038038144152e-21,1.0127186259112679e-20,4.661085145229687e-23
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-2e-05,-6.003857361641432e-19,-1.4875092009440636e-18,5.894861331250931e-21,-3.653066919826362e-21,1.3092107163272588e-20,4.934899723064668e-22
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.9e-05,-6.002226625851893e-19,-1.4867036624827114e-18,6.603546821266529e-21,-3.951697343839819e-21,1.6059438244718203e-20,9.086269747970078e-22
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.8e-05,-6.000705327834457e-19,-1.4859949776428318e-18,7.31296154821003e-21,-4.271929310184525e-21,1.902917950344953e-20,1.2920218589239192e-21
